Id,Title,Description,Publisher,Author,Isbn,Edition,Released year,Retail price,University,Image,Created at,Updated at,Department,Semester,Pages
1,Enviromental Engineering - II,,Techmax,Pagnis Ravikant,978-81-8492-890-7,,,125,Pune University,/uploads/book/image/1/enviromental_engineering_-_ii658ffdef-5129-4e95-8d36-9b9909e68fe3.jpg,2014-06-26 03:03:13 UTC,2014-06-26 03:03:13 UTC,Civil Engg (CIVIL),7,
2,VLSI Design and Technology,,Techmax,Kadam Poonam,978-81-8492-915-7,,,285,Pune University,/uploads/book/image/2/vlsi_design_and_technology14fa0551-3128-44e5-b64f-ebee5760e748.jpg,2014-06-26 03:03:14 UTC,2014-06-26 03:03:14 UTC,E & TC (ECE::E & TC),7,
3,Physical Pharmacy,,Techmax,Santosh P.Bahirat,978-93-5077-026-9,,,210,Pune University,/uploads/book/image/3/physical_pharmacyb4370c89-34e5-4f8f-8b71-04f684582b90.jpg,2014-06-26 03:03:14 UTC,2014-06-26 03:03:14 UTC,Pharmacy (Ph),0,
4,Object Oriented Programming using C++,,Techmax,Alok Pawar,978-81-8492-005-5P426,,,225,Pune University,"",2014-06-26 03:03:14 UTC,2014-06-26 03:03:14 UTC,Master of Computer Application (MCA),5,
5,Design Data Handbook,,Techmax,Patil R. B.,978-93-5077-042-9,,,215,Pune University,/uploads/book/image/5/design_data_handbook528caa53-986f-4d67-8919-df46b208f25b.jpg,2014-06-26 03:03:15 UTC,2014-06-26 03:03:15 UTC,Mechanical Engg (ME),0,
6,Medicinal Chemistry  II,,Techmax,Patil  Rajendra  B,978-93-5077-050-4,,,310,Pune University,/uploads/book/image/6/medicinal_chemistry__ii883e3e00-8e69-43e0-8a57-765bdef2fab6.jpg,2014-06-26 03:03:16 UTC,2014-06-26 03:03:16 UTC,Pharmacy (Ph),3,
7,FE Online I,,Techmax,General,978-93-5077-073-3,,,165,Pune University,/uploads/book/image/7/f.e_online_vol_iae43f300-dd6f-44e0-9298-3fa765aac472.jpg,2014-06-26 03:03:17 UTC,2014-06-26 03:03:17 UTC,First Year Engg (FE),1,
8,FE Online II,,Techmax,General,978-93-5077-076-4,,,185,Pune University,/uploads/book/image/8/fe_online___vol_ii_674ebc44-5bbd-46d6-bc07-88096a1373db.jpg,2014-06-26 03:03:18 UTC,2014-06-26 03:03:18 UTC,First Year Engg (FE),1,
9,Principles of Compiler Design,,Techmax,Sultanpure Kavita,,,,335,Pune University,/uploads/book/image/9/principles_of_compiler_design71eb6dc7-8c75-423c-9f01-ca521d339bba.jpg,2014-06-26 03:03:19 UTC,2014-06-26 03:03:19 UTC,Comp. Sc. Engg (CSE),7,
10,Structural Design I,,Techmax,Sajjan V  Wagh,978-93-5077-114-3,,,245,Pune University,/uploads/book/image/10/structural_design_i8da3590f-46d7-4c71-8ac6-c08071b243c3.jpg,2014-06-26 03:03:20 UTC,2014-06-26 03:03:20 UTC,Civil Engg (CIVIL),5,
11,Integrated Marketing Communication,,Techmax,Joshi Rachita,978-81-8492-859-4,,,140,Pune University,/uploads/book/image/11/integrated_marketing_communication4414f69a-c56d-4ae2-87a2-4ec9bd850057.jpg,2014-06-26 03:03:20 UTC,2014-06-26 03:03:20 UTC,Business Management (MBA),3,
12,Signal Coding and Estimation Theory,,Techmax,Katre J. S.,978-81-8492-998-0,,,340,Pune University,/uploads/book/image/12/signal_coding_and_estimation_theory089876fd-f072-4061-9239-c09ecbec3f91.jpg,2014-06-26 03:03:21 UTC,2014-06-26 03:03:21 UTC,E & TC (ECE::E & TC),6,
13,Television and Video Engineering,,Techmax,Kalavar Anasuya,978-81-8492-952-2,,,320,Pune University,/uploads/book/image/13/television_and_video_engineeringa5ca14ef-5a34-4894-9cea-c16187e98d55.jpg,2014-06-26 03:03:22 UTC,2014-06-26 03:03:22 UTC,E & TC (ECE::E & TC),8,
14,Advanced Surveying,,Techmax,Kumavat V. K.,978-93-5077-133-4,,,225,Pune University,/uploads/book/image/14/advanced_surveyingdf45c997-207e-4d9a-8c7e-9d730c4cf92e.jpg,2014-06-26 03:03:23 UTC,2014-06-26 03:03:23 UTC,Civil Engg (CIVIL),5,
