Design & Analysis of Algorithm,Techmax,Redekar Suraj,Pune University,Comp. Sc. Engg (CSE),7,978-81-8492-850-1,335,design_&_analysis_of_algorithm5001b7e0-c467-4455-8cb9-50df8f4b8a78.jpg,,,
Enviromental Engineering - II,Techmax,Pagnis Ravikant,Pune University,Civil Engg (CIVIL),7,978-81-8492-890-7,125,enviromental_engineering_-_ii658ffdef-5129-4e95-8d36-9b9909e68fe3.jpg,,,
VLSI Design and Technology,Techmax,Kadam Poonam,Pune University,E & TC (ECE/E & TC),7,978-81-8492-915-7,285,vlsi_design_and_technology14fa0551-3128-44e5-b64f-ebee5760e748.jpg,,,
Physical Pharmacy,Techmax,Santosh P.Bahirat,Pune University,Pharmacy (Ph),0,978-93-5077-026-9,210,physical_pharmacyb4370c89-34e5-4f8f-8b71-04f684582b90.jpg,,,
Object Oriented Programming using C++,Techmax,Alok Pawar,Pune University,Master of Computer Application (MCA),5,978-81-8492-005-5P426,225,object_oriented_programming_using_c++353ee882-66d1-48b5-a0dd-322692e100a8.jpg,,,
Design Data Handbook,Techmax,Patil R. B.,Pune University,Mechanical Engg (ME),0,978-93-5077-042-9,215,design_data_handbook528caa53-986f-4d67-8919-df46b208f25b.jpg,,,
Medicinal Chemistry  II,Techmax,Patil  Rajendra  B,Pune University,Pharmacy (Ph),3,978-93-5077-050-4,310,medicinal_chemistry__ii883e3e00-8e69-43e0-8a57-765bdef2fab6.jpg,,,
FE Online I,Techmax,General,Pune University,First Year Engg (FE),1,978-93-5077-073-3,165,f.e_online_vol_iae43f300-dd6f-44e0-9298-3fa765aac472.jpg,,,
FE Online II,Techmax,General,Pune University,First Year Engg (FE),1,978-93-5077-076-4,185,fe_online_(:vol_ii)674ebc44-5bbd-46d6-bc07-88096a1373db.jpg,,,
Principles of Compiler Design,Techmax,Sultanpure Kavita,Pune University,Comp. Sc. Engg (CSE),7,,335,principles_of_compiler_design71eb6dc7-8c75-423c-9f01-ca521d339bba.jpg,,,
Structural Design I,Techmax,Sajjan V  Wagh,Pune University,Civil Engg (CIVIL),5,978-93-5077-114-3,245,structural_design_i8da3590f-46d7-4c71-8ac6-c08071b243c3.jpg,,,
Integrated Marketing Communication,Techmax,Joshi Rachita,Pune University,Business Management (MBA),3,978-81-8492-859-4,140,integrated_marketing_communication4414f69a-c56d-4ae2-87a2-4ec9bd850057.jpg,,,
Signal Coding and Estimation Theory,Techmax,Katre J. S.,Pune University,E & TC (ECE/E & TC),6,978-81-8492-998-0,340,signal_coding_and_estimation_theory089876fd-f072-4061-9239-c09ecbec3f91.jpg,,,
Television and Video Engineering,Techmax,Kalavar Anasuya,Pune University,E & TC (ECE/E & TC),8,978-81-8492-952-2,320,television_and_video_engineeringa5ca14ef-5a34-4894-9cea-c16187e98d55.jpg,,,
Advanced Surveying,Techmax,Kumavat V. K.,Pune University,Civil Engg (CIVIL),5,978-93-5077-133-4,225,advanced_surveyingdf45c997-207e-4d9a-8c7e-9d730c4cf92e.jpg,,,
Networking,Techmax,Pawar Alok,Pune University,Bachelor of Computer Application (BCA),4,81-P494,210,networking23c6a218-5945-4477-8696-4cf8bf2e3783.jpg,,,
Human Resource Management,Techmax,Netra Neelam,Pune University,Bachelor of Computer Application (BCA),4,,135,human_resource_management38c6fa52-3046-43f6-94b4-701f28495f3e.jpg,,,
Object Oriented Programming Using C,Techmax,Pawar Alok,Pune University,Bachelor of Computer Application (BCA),4,81-P503,245,obj_orien_programming_using_c902e39fa-1462-4eef-abf6-400b12edf405.jpg,,,
Software Testing and Quality Assurance,Techmax,Padmawar Neelima V.,Pune University,Master of Computer Application (MCA),4,978-81-8492-970-6,190,software_testing_and_quality_assuranceb2ea4dc5-e152-44b8-80b2-c9f25f88ba31.jpg,,,
